Time,Frame,r,Phi,Theta,FILE
0,0,8,0,0,image/output_000000_000000.png
0,0,8,0,45,image/output_000000_000001.png
0,0,8,0,90,image/output_000000_000002.png
0,0,8,0,135,image/output_000000_000003.png
0,0,8,0,180,image/output_000000_000004.png
0,0,8,0,225,image/output_000000_000005.png
0,0,8,0,270,image/output_000000_000006.png
0,0,8,0,315,image/output_000000_000007.png
0,0,8,45,0,image/output_000000_000008.png
0,0,8,45,45,image/output_000000_000009.png
0,0,8,45,90,image/output_000000_000010.png
0,0,8,45,135,image/output_000000_000011.png
0,0,8,45,180,image/output_000000_000012.png
0,0,8,45,225,image/output_000000_000013.png
0,0,8,45,270,image/output_000000_000014.png
0,0,8,45,315,image/output_000000_000015.png
0,0,8,90,0,image/output_000000_000016.png
0,0,8,90,45,image/output_000000_000017.png
0,0,8,90,90,image/output_000000_000018.png
0,0,8,90,135,image/output_000000_000019.png
0,0,8,90,180,image/output_000000_000020.png
0,0,8,90,225,image/output_000000_000021.png
0,0,8,90,270,image/output_000000_000022.png
0,0,8,90,315,image/output_000000_000023.png
10,1,8,0,0,image/output_000010_000000.png
10,1,8,0,45,image/output_000010_000001.png
10,1,8,0,90,image/output_000010_000002.png
10,1,8,0,135,image/output_000010_000003.png
10,1,8,0,180,image/output_000010_000004.png
10,1,8,0,225,image/output_000010_000005.png
10,1,8,0,270,image/output_000010_000006.png
10,1,8,0,315,image/output_000010_000007.png
10,1,8,45,0,image/output_000010_000008.png
10,1,8,45,45,image/output_000010_000009.png
10,1,8,45,90,image/output_000010_000010.png
10,1,8,45,135,image/output_000010_000011.png
10,1,8,45,180,image/output_000010_000012.png
10,1,8,45,225,image/output_000010_000013.png
10,1,8,45,270,image/output_000010_000014.png
10,1,8,45,315,image/output_000010_000015.png
10,1,8,90,0,image/output_000010_000016.png
10,1,8,90,45,image/output_000010_000017.png
10,1,8,90,90,image/output_000010_000018.png
10,1,8,90,135,image/output_000010_000019.png
10,1,8,90,180,image/output_000010_000020.png
10,1,8,90,225,image/output_000010_000021.png
10,1,8,90,270,image/output_000010_000022.png
10,1,8,90,315,image/output_000010_000023.png
20,2,8,0,0,image/output_000020_000000.png
20,2,8,0,45,image/output_000020_000001.png
20,2,8,0,90,image/output_000020_000002.png
20,2,8,0,135,image/output_000020_000003.png
20,2,8,0,180,image/output_000020_000004.png
20,2,8,0,225,image/output_000020_000005.png
20,2,8,0,270,image/output_000020_000006.png
20,2,8,0,315,image/output_000020_000007.png
20,2,8,45,0,image/output_000020_000008.png
20,2,8,45,45,image/output_000020_000009.png
20,2,8,45,90,image/output_000020_000010.png
20,2,8,45,135,image/output_000020_000011.png
20,2,8,45,180,image/output_000020_000012.png
20,2,8,45,225,image/output_000020_000013.png
20,2,8,45,270,image/output_000020_000014.png
20,2,8,45,315,image/output_000020_000015.png
20,2,8,90,0,image/output_000020_000016.png
20,2,8,90,45,image/output_000020_000017.png
20,2,8,90,90,image/output_000020_000018.png
20,2,8,90,135,image/output_000020_000019.png
20,2,8,90,180,image/output_000020_000020.png
20,2,8,90,225,image/output_000020_000021.png
20,2,8,90,270,image/output_000020_000022.png
20,2,8,90,315,image/output_000020_000023.png
30,3,8,0,0,image/output_000030_000000.png
30,3,8,0,45,image/output_000030_000001.png
30,3,8,0,90,image/output_000030_000002.png
30,3,8,0,135,image/output_000030_000003.png
30,3,8,0,180,image/output_000030_000004.png
30,3,8,0,225,image/output_000030_000005.png
30,3,8,0,270,image/output_000030_000006.png
30,3,8,0,315,image/output_000030_000007.png
30,3,8,45,0,image/output_000030_000008.png
30,3,8,45,45,image/output_000030_000009.png
30,3,8,45,90,image/output_000030_000010.png
30,3,8,45,135,image/output_000030_000011.png
30,3,8,45,180,image/output_000030_000012.png
30,3,8,45,225,image/output_000030_000013.png
30,3,8,45,270,image/output_000030_000014.png
30,3,8,45,315,image/output_000030_000015.png
30,3,8,90,0,image/output_000030_000016.png
30,3,8,90,45,image/output_000030_000017.png
30,3,8,90,90,image/output_000030_000018.png
30,3,8,90,135,image/output_000030_000019.png
30,3,8,90,180,image/output_000030_000020.png
30,3,8,90,225,image/output_000030_000021.png
30,3,8,90,270,image/output_000030_000022.png
30,3,8,90,315,image/output_000030_000023.png
40,4,8,0,0,image/output_000040_000000.png
40,4,8,0,45,image/output_000040_000001.png
40,4,8,0,90,image/output_000040_000002.png
40,4,8,0,135,image/output_000040_000003.png
40,4,8,0,180,image/output_000040_000004.png
40,4,8,0,225,image/output_000040_000005.png
40,4,8,0,270,image/output_000040_000006.png
40,4,8,0,315,image/output_000040_000007.png
40,4,8,45,0,image/output_000040_000008.png
40,4,8,45,45,image/output_000040_000009.png
40,4,8,45,90,image/output_000040_000010.png
40,4,8,45,135,image/output_000040_000011.png
40,4,8,45,180,image/output_000040_000012.png
40,4,8,45,225,image/output_000040_000013.png
40,4,8,45,270,image/output_000040_000014.png
40,4,8,45,315,image/output_000040_000015.png
40,4,8,90,0,image/output_000040_000016.png
40,4,8,90,45,image/output_000040_000017.png
40,4,8,90,90,image/output_000040_000018.png
40,4,8,90,135,image/output_000040_000019.png
40,4,8,90,180,image/output_000040_000020.png
40,4,8,90,225,image/output_000040_000021.png
40,4,8,90,270,image/output_000040_000022.png
40,4,8,90,315,image/output_000040_000023.png
50,5,8,0,0,image/output_000050_000000.png
50,5,8,0,45,image/output_000050_000001.png
50,5,8,0,90,image/output_000050_000002.png
50,5,8,0,135,image/output_000050_000003.png
50,5,8,0,180,image/output_000050_000004.png
50,5,8,0,225,image/output_000050_000005.png
50,5,8,0,270,image/output_000050_000006.png
50,5,8,0,315,image/output_000050_000007.png
50,5,8,45,0,image/output_000050_000008.png
50,5,8,45,45,image/output_000050_000009.png
50,5,8,45,90,image/output_000050_000010.png
50,5,8,45,135,image/output_000050_000011.png
50,5,8,45,180,image/output_000050_000012.png
50,5,8,45,225,image/output_000050_000013.png
50,5,8,45,270,image/output_000050_000014.png
50,5,8,45,315,image/output_000050_000015.png
50,5,8,90,0,image/output_000050_000016.png
50,5,8,90,45,image/output_000050_000017.png
50,5,8,90,90,image/output_000050_000018.png
50,5,8,90,135,image/output_000050_000019.png
50,5,8,90,180,image/output_000050_000020.png
50,5,8,90,225,image/output_000050_000021.png
50,5,8,90,270,image/output_000050_000022.png
50,5,8,90,315,image/output_000050_000023.png
60,6,8,0,0,image/output_000060_000000.png
60,6,8,0,45,image/output_000060_000001.png
60,6,8,0,90,image/output_000060_000002.png
60,6,8,0,135,image/output_000060_000003.png
60,6,8,0,180,image/output_000060_000004.png
60,6,8,0,225,image/output_000060_000005.png
60,6,8,0,270,image/output_000060_000006.png
60,6,8,0,315,image/output_000060_000007.png
60,6,8,45,0,image/output_000060_000008.png
60,6,8,45,45,image/output_000060_000009.png
60,6,8,45,90,image/output_000060_000010.png
60,6,8,45,135,image/output_000060_000011.png
60,6,8,45,180,image/output_000060_000012.png
